value,prob
159,1e-05
176,1e-05
188,1e-05
191,1e-05
193,1e-05
194,1e-05
196,2e-05
198,1e-05
199,1e-05
201,1e-05
202,1e-05
203,1e-05
205,1e-05
206,1e-05
208,1e-05
209,4e-05
210,2e-05
211,1e-05
212,1e-05
213,2e-05
214,5e-05
215,2e-05
216,1e-05
217,2e-05
218,3e-05
219,1e-05
220,1e-05
221,3e-05
222,4e-05
223,3e-05
224,4e-05
226,4e-05
227,3e-05
228,2e-05
229,6e-05
230,4e-05
231,6e-05
232,4e-05
233,3e-05
234,3e-05
235,6e-05
236,5e-05
238,1e-05
239,8e-05
240,0.00011
241,0.00012
242,5e-05
243,6e-05
244,7e-05
245,3e-05
246,1e-05
247,0.00013
248,7e-05
249,8e-05
250,8e-05
251,9e-05
252,0.0001
253,6e-05
254,8e-05
255,0.00018
256,9e-05
257,0.00012
258,9e-05
259,8e-05
260,7e-05
261,0.00013
262,0.0001
263,0.00015
264,0.00015
265,0.00012
266,0.00011
267,0.00012
268,8e-05
269,0.00021
270,0.00013
271,0.00011
272,0.00018
273,0.00017
274,0.00014
275,0.00019
276,0.00016
277,0.00016
278,0.00023
279,0.0002
280,0.00017
281,0.00018
282,0.0002
283,0.00017
284,0.0002
285,0.00021
286,0.00026
287,0.00027
288,0.0002
289,0.0003
290,0.00026
291,0.00046
292,0.00034
293,0.00029
294,0.00032
295,0.00035
296,0.00029
297,0.00037
298,0.0003
299,0.0003
300,0.00035
301,0.00035
302,0.00043
303,0.00038
304,0.00037
305,0.00041
306,0.00037
307,0.00048
308,0.00044
309,0.00042
310,0.00046
311,0.00039
312,0.0005
313,0.00044
314,0.00045
315,0.00045
316,0.00058
317,0.00051
318,0.00057
319,0.00057
320,0.00046
321,0.00065
322,0.00057
323,0.00058
324,0.0007
325,0.00077
326,0.00069
327,0.00078
328,0.00068
329,0.00084
330,0.00072
331,0.00072
332,0.00067
333,0.0007
334,0.0007
335,0.00068
336,0.0008
337,0.0008
338,0.00095
339,0.00084
340,0.0011
341,0.00092
342,0.00088
343,0.00074
344,0.00115
345,0.00116
346,0.00105
347,0.00092
348,0.00108
349,0.00128
350,0.0009
351,0.00103
352,0.0011
353,0.00087
354,0.00124
355,0.00094
356,0.00112
357,0.00126
358,0.00119
359,0.00114
360,0.00115
361,0.00102
362,0.00127
363,0.00135
364,0.00133
365,0.00137
366,0.00146
367,0.00161
368,0.00144
369,0.00153
370,0.00151
371,0.00166
372,0.00169
373,0.00126
374,0.00158
375,0.00166
376,0.00144
377,0.00158
378,0.00159
379,0.00202
380,0.00196
381,0.00189
382,0.00175
383,0.00189
384,0.00175
385,0.0022
386,0.00197
387,0.00177
388,0.00191
389,0.00199
390,0.00201
391,0.00177
392,0.00207
393,0.00199
394,0.00224
395,0.00208
396,0.00184
397,0.00225
398,0.0026
399,0.00248
400,0.00229
401,0.00214
402,0.00211
403,0.00248
404,0.00249
405,0.00242
406,0.00244
407,0.00242
408,0.00222
409,0.00266
410,0.00274
411,0.00249
412,0.00251
413,0.00256
414,0.00284
415,0.00277
416,0.00268
417,0.0027
418,0.00242
419,0.00292
420,0.00256
421,0.00305
422,0.00269
423,0.00289
424,0.00302
425,0.0029
426,0.00293
427,0.00299
428,0.0029
429,0.00301
430,0.00316
431,0.00343
432,0.00302
433,0.00334
434,0.00304
435,0.00324
436,0.0037
437,0.00352
438,0.00322
439,0.00365
440,0.00337
441,0.00338
442,0.00344
443,0.00344
444,0.00362
445,0.00368
446,0.00357
447,0.0034
448,0.00338
449,0.00363
450,0.0037
451,0.00377
452,0.00371
453,0.00392
454,0.00372
455,0.0035
456,0.00388
457,0.00379
458,0.00374
459,0.00368
460,0.00378
461,0.00419
462,0.00361
463,0.00408
464,0.00414
465,0.00372
466,0.00388
467,0.00389
468,0.00398
469,0.00399
470,0.00405
471,0.004
472,0.00418
473,0.0041
474,0.00389
475,0.00403
476,0.00419
477,0.00365
478,0.00399
479,0.00393
480,0.00441
481,0.00402
482,0.00412
483,0.00464
484,0.00425
485,0.0043
486,0.00462
487,0.00435
488,0.00436
489,0.00423
490,0.00395
491,0.00394
492,0.00441
493,0.00454
494,0.00423
495,0.00419
496,0.00437
497,0.00459
498,0.00459
499,0.00435
500,0.00425
501,0.00461
502,0.00408
503,0.00434
504,0.00464
505,0.00453
506,0.00437
507,0.00411
508,0.00427
509,0.00423
510,0.00403
511,0.0042
512,0.00447
513,0.00414
514,0.00452
515,0.0044
516,0.00406
517,0.00441
518,0.00458
519,0.0044
520,0.00402
521,0.0041
522,0.00419
523,0.00401
524,0.00424
525,0.00461
526,0.00413
527,0.0039
528,0.00426
529,0.00424
530,0.00408
531,0.00425
532,0.00402
533,0.00415
534,0.0042
535,0.00435
536,0.00404
537,0.00416
538,0.00394
539,0.004
540,0.00425
541,0.0038
542,0.00386
543,0.00399
544,0.00377
545,0.00382
546,0.00398
547,0.00414
548,0.00404
549,0.00409
550,0.00368
551,0.0036
552,0.0039
553,0.00364
554,0.00375
555,0.00388
556,0.00403
557,0.00359
558,0.0036
559,0.00341
560,0.00389
561,0.00371
562,0.00348
563,0.00366
564,0.00341
565,0.00313
566,0.00335
567,0.00361
568,0.00373
569,0.00362
570,0.00372
571,0.00294
572,0.00319
573,0.00359
574,0.00322
575,0.00333
576,0.00335
577,0.00306
578,0.00333
579,0.00302
580,0.00335
581,0.00314
582,0.00334
583,0.00279
584,0.00285
585,0.00299
586,0.00308
587,0.00275
588,0.00284
589,0.00325
590,0.0027
591,0.0029
592,0.00289
593,0.00301
594,0.00283
595,0.00299
596,0.00281
597,0.00251
598,0.00249
599,0.00267
600,0.00262
601,0.00258
602,0.00228
603,0.00246
604,0.0025
605,0.00256
606,0.00234
607,0.00249
608,0.00233
609,0.00236
610,0.00225
611,0.00217
612,0.00269
613,0.00195
614,0.00203
615,0.00211
616,0.00193
617,0.00227
618,0.00216
619,0.00183
620,0.00173
621,0.00193
622,0.00214
623,0.00212
624,0.0022
625,0.00185
626,0.00175
627,0.00184
628,0.00189
629,0.00177
630,0.00159
631,0.00154
632,0.00163
633,0.00187
634,0.00153
635,0.00175
636,0.00147
637,0.00182
638,0.00151
639,0.00153
640,0.00155
641,0.00139
642,0.00142
643,0.00138
644,0.00116
645,0.00155
646,0.00142
647,0.00123
648,0.00125
649,0.00157
650,0.00119
651,0.00125
652,0.00122
653,0.00107
654,0.00125
655,0.00117
656,0.00114
657,0.00103
658,0.00102
659,0.00101
660,0.00097
661,0.00106
662,0.00096
663,0.00089
664,0.0009
665,0.00092
666,0.00094
667,0.00104
668,0.00092
669,0.00092
670,0.00079
671,0.00082
672,0.00083
673,0.00087
674,0.00101
675,0.0008
676,0.00081
677,0.00079
678,0.00064
679,0.00071
680,0.00075
681,0.00062
682,0.00059
683,0.00074
684,0.00062
685,0.00077
686,0.0006
687,0.00056
688,0.00048
689,0.00052
690,0.00048
691,0.00058
692,0.00065
693,0.00061
694,0.00064
695,0.00055
696,0.00051
697,0.00051
698,0.00044
699,0.00042
700,0.00046
701,0.00048
702,0.00036
703,0.00046
704,0.00042
705,0.00036
706,0.00037
707,0.00039
708,0.0004
709,0.00038
710,0.00034
711,0.00035
712,0.00026
713,0.00018
714,0.00035
715,0.00027
716,0.00034
717,0.0002
718,0.00022
719,0.0002
720,0.00042
721,0.00021
722,0.00022
723,0.00021
724,0.00019
725,0.00018
726,0.00022
727,0.00027
728,0.00024
729,0.00017
730,0.00017
731,0.00019
732,0.00018
733,0.00019
734,0.00019
735,0.00015
736,0.00018
737,0.00026
738,0.00012
739,0.00016
740,0.00014
741,0.00017
742,0.0001
743,0.00011
744,0.00011
745,0.0002
746,0.0001
747,0.00015
748,9e-05
749,0.00011
750,0.00011
751,7e-05
752,0.00013
753,0.00013
754,9e-05
755,0.00017
756,9e-05
757,9e-05
758,0.00011
759,5e-05
760,6e-05
761,3e-05
762,9e-05
763,6e-05
764,0.0001
765,0.00014
766,8e-05
767,9e-05
768,6e-05
769,6e-05
770,4e-05
771,4e-05
772,3e-05
773,6e-05
774,2e-05
775,3e-05
776,4e-05
777,2e-05
779,3e-05
780,6e-05
781,4e-05
782,3e-05
783,2e-05
784,3e-05
785,2e-05
786,2e-05
787,1e-05
788,3e-05
789,4e-05
790,7e-05
791,5e-05
792,2e-05
793,1e-05
794,4e-05
795,5e-05
797,3e-05
798,1e-05
800,1e-05
802,1e-05
803,1e-05
806,1e-05
807,2e-05
808,1e-05
811,4e-05
812,3e-05
813,3e-05
814,1e-05
817,1e-05
818,1e-05
819,1e-05
821,2e-05
822,4e-05
825,2e-05
828,1e-05
830,1e-05
833,1e-05
842,1e-05
853,1e-05
854,2e-05
857,1e-05
860,1e-05
879,1e-05
